dataset,spearman_corr,spearman_p,mse,mae,n_samples
kermut_fold_random_5,0.9977622306630787,0.0,0.00011753464788244683,0.008239657232142858,1176
kermut_fold_random_5,0.9526646439253627,0.0,0.07919701182979122,0.2054961078899902,1019
kermut_fold_random_5,0.9500397999390552,0.0,0.09345961651051551,0.23528576842884646,9576
kermut_fold_random_5,0.9474338939493343,0.0,0.09398665592723149,0.22990713342331845,1118
kermut_fold_random_5,0.9437121558981686,0.0,0.08070739565057408,0.20711575982335376,1306
kermut_fold_random_5,0.9426540195036115,0.0,0.09751430362380588,0.2250133888064069,1155
kermut_fold_random_5,0.9424708557931909,0.0,0.10980754001674388,0.23267512671118326,1124
kermut_fold_random_5,0.9400296713051502,0.0,0.1225707177400848,0.25535843108513084,955
kermut_fold_random_5,0.9396379958633011,0.0,0.1381897379223516,0.2631459754623171,820
kermut_fold_random_5,0.9375650446960466,0.0,0.11488346437425818,0.24463172702729974,1211
kermut_fold_random_5,0.9334999557639563,0.0,0.10495527150364789,0.23399522867526434,889
kermut_fold_random_5,0.9333692253012853,0.0,0.12056635066465868,0.24261444982493438,762
kermut_fold_random_5,0.9332357356218511,0.0,0.14217814275702412,0.27886566215943653,1118
kermut_fold_random_5,0.9326405627339645,0.0,0.11930569220822856,0.2412135653268922,798
kermut_fold_random_5,0.9325413929140757,0.0,0.09689641797890568,0.21843502058234834,1047
kermut_fold_random_5,0.9313797554821793,0.0,0.12692316227010256,0.25044810828762265,938
kermut_fold_random_5,0.9312287687696015,0.0,0.09688795556061586,0.22800908158293484,1213
kermut_fold_random_5,0.9299545953576389,0.0,0.14632034619991602,0.2831809165580812,1084
kermut_fold_random_5,0.9299263977663639,1.660356766528485e-308,0.14492214489617736,0.2842790258520509,707
kermut_fold_random_5,0.9291612271345393,0.0,0.09915430924434372,0.22528394826050208,1195
kermut_fold_random_5,0.9278049608980729,0.0,0.08047195895432405,0.2071861515389831,1239
kermut_fold_random_5,0.9276111441525018,0.0,0.10274102968095182,0.23725449801046564,1353
kermut_fold_random_5,0.9267787768100891,0.0,0.12722634032152672,0.25189919684296175,1202
kermut_fold_random_5,0.926456389646713,0.0,0.09033267034741665,0.19645984035107913,834
kermut_fold_random_5,0.9247858873880586,0.0,0.10854553958610867,0.23474270661,1216
kermut_fold_random_5,0.9242366760697547,0.0,0.14384902443017597,0.28127770503385857,1244
kermut_fold_random_5,0.9230421434411996,5.5157618044757935e-286,0.14856811056506408,0.24616274930364432,686
kermut_fold_random_5,0.9203106525024525,0.0,0.16953160329935119,0.3047970490685322,947
kermut_fold_random_5,0.9201941029531361,0.0,0.15300291634901056,0.2827750515179935,917
kermut_fold_random_5,0.9199086683515209,0.0,0.16363548719947504,0.3016607622037736,1219
kermut_fold_random_5,0.9196545613956922,0.0,0.1351395087647509,0.2527823044247865,890
kermut_fold_random_5,0.9196478706330201,1.976691831891984e-253,0.10321485389201042,0.2257753753953301,621
kermut_fold_random_5,0.9180398367683853,0.0,0.11331432136129437,0.24436117283809045,995
kermut_fold_random_5,0.9147971944955856,0.0,0.09376303582343858,0.2240862751309423,1040
kermut_fold_random_5,0.9147955104447743,0.0,0.14363501320958533,0.2745967564497241,1051
kermut_fold_random_5,0.9137464867332141,0.0,0.14286498276126913,0.2507374714634812,1195
kermut_fold_random_5,0.9136201545553976,0.0,0.14930626482361214,0.2742585654723844,1212
kermut_fold_random_5,0.9132473371761803,0.0,0.12623485786158495,0.24917760243624876,1029
kermut_fold_random_5,0.9132391865652499,0.0,0.12484001591792462,0.24372571779077382,1008
kermut_fold_random_5,0.911094079569887,6.514118581237642e-254,0.1695593340681097,0.30199134612525913,656
kermut_fold_random_5,0.9109648437427578,0.0,0.17850054786672825,0.3080992703243927,988
kermut_fold_random_5,0.9096065538248703,0.0,0.17993962080894807,0.30170109686808694,1035
kermut_fold_random_5,0.90936679433409,0.0,0.18921695976794795,0.3131973104914467,4783
kermut_fold_random_5,0.9089399168230666,0.0,0.15672511049356352,0.2928638646808487,4996
kermut_fold_random_5,0.9087790062233996,6.931446147816654e-276,0.1629429493048649,0.26893546981701244,723
kermut_fold_random_5,0.9081436169030153,3.3693822365798676e-258,0.16405887138312686,0.28430847081919,679
kermut_fold_random_5,0.9073116651557215,0.0,0.16011480082804178,0.2820092340225461,3798
kermut_fold_random_5,0.9071539270809855,0.0,0.18017221982741122,0.28562774308386135,1010
kermut_fold_random_5,0.905624337134038,5.2355943595005097e-238,0.19636186698375108,0.3197212313390709,635
kermut_fold_random_5,0.9055303051334118,0.0,0.15564909861175275,0.29460406581895554,1034
kermut_fold_random_5,0.9053156866018407,0.0,0.15198195495996666,0.2879985244336651,5004
kermut_fold_random_5,0.903806173629111,0.0,0.15616619993336484,0.2686047870774359,975
kermut_fold_random_5,0.9037163352820385,0.0,0.09620777202963486,0.22422603659756818,1357
kermut_fold_random_5,0.9030526054112754,0.0,0.15428177053426856,0.2859933172864776,1340
kermut_fold_random_5,0.8998613346899501,0.0,0.19562075477876442,0.31913491322258863,1213
kermut_fold_modulo_5,0.8942847483392794,0.0,0.1889764932299333,0.3268753907072424,1019
kermut_fold_random_5,0.8936968121278828,0.0,0.2061705356939683,0.33616297992235294,6142
kermut_fold_random_5,0.8907500044572814,0.0,0.22074673049685214,0.34531511950965854,1025
kermut_fold_random_5,0.8894174871398833,4.324626e-317,0.18106353144708418,0.2930113755061422,928
kermut_fold_random_5,0.8893254786190954,7.562856408007462e-229,0.20710094733332016,0.31650289006816146,669
kermut_fold_random_5,0.8887407123031246,2.1861424170125768e-243,0.1438995450237981,0.26426938551016804,714
kermut_fold_random_5,0.8864559698580898,4.15229942e-316,0.19685402645783218,0.3194809825810776,940
kermut_fold_random_5,0.8860455038262656,0.0,0.18238300353379125,0.3017125523640557,1149
kermut_fold_random_5,0.8851901651778775,0.0,0.21202559119484277,0.3538779601323505,7467
kermut_fold_random_5,0.8833916630638261,0.0,0.17767780585976461,0.2955271540909114,1163
kermut_fold_modulo_5,0.8832945250264908,0.0,0.26409708939113613,0.38574558648187135,9576
kermut_fold_modulo_5,0.8817964252251795,0.0,0.22576412457003933,0.355528076856637,1124
kermut_fold_random_5,0.880290393898481,0.0,0.13512602000199406,0.2539264024349262,1287
kermut_fold_modulo_5,0.8795237950364608,0.0,0.20160246683511018,0.3388642177868989,1306
kermut_fold_random_5,0.8755494565750106,4.0917786501337314e-246,0.22850228493816568,0.35568675713217063,774
kermut_fold_random_5,0.8746804688285422,0.0,0.1515674742115916,0.26131228750239005,8756
kermut_fold_modulo_5,0.8738189004922435,6.052407331321225e-307,0.1998649716162547,0.3231700476554154,975
kermut_fold_random_5,0.8723542484069559,0.0,0.1592393723430222,0.289979382652011,1094
kermut_fold_random_5,0.8690392836572031,0.0,0.2563300410337402,0.3812276962158981,1570
kermut_fold_random_5,0.8678028914788892,4.68305e-319,0.1841034977499349,0.3035279548612823,1045
kermut_fold_modulo_5,0.867733106638665,1.4065419245735085e-250,0.2592991146950045,0.3943126338033415,820
kermut_fold_random_5,0.8620426683479917,0.0,0.15434612853922733,0.26958509273297465,1301
kermut_fold_modulo_5,0.8607683766221778,3.1163367246568473e-246,0.18536287241402824,0.30970834113992807,834
kermut_fold_modulo_5,0.859076090908954,0.0,0.2709597692673803,0.4012910610587531,7467
kermut_fold_random_5,0.8589433531927647,0.0,0.2497948979571531,0.387215906043285,1519
